ParamNum,State,Frequency,MultiStableState,Stability Type,RepNum,Motif
9247.0,'01',1.0,'01',1,1,TS
9248.0,'10',1.0,'10',1,1,TS
9249.0,'01',0.877,'01 10',2,1,TS
9249.0,'10',0.123,'01 10',2,1,TS
9250.0,'10',1.0,'10',1,1,TS
9251.0,'01',0.997,'01 10',2,1,TS
9251.0,'10',0.003,'01 10',2,1,TS
9252.0,'10',1.0,'10',1,1,TS
9253.0,'10',1.0,'10',1,1,TS
9254.0,'01',1.0,'01',1,1,TS
9255.0,'01',1.0,'01',1,1,TS
9256.0,'01',1.0,'01',1,1,TS
9257.0,'01',1.0,'01',1,1,TS
9258.0,'10',1.0,'10',1,1,TS
9259.0,'01',1.0,'01',1,1,TS
9260.0,'01',0.739,'01 10',2,1,TS
9260.0,'10',0.261,'01 10',2,1,TS
9261.0,'01',1.0,'01',1,1,TS
9262.0,'01',1.0,'01',1,1,TS
9263.0,'01',0.796,'01 10',2,1,TS
9263.0,'10',0.204,'01 10',2,1,TS
9264.0,'01',1.0,'01',1,1,TS
9265.0,'10',1.0,'10',1,1,TS
9266.0,'10',1.0,'10',1,1,TS
9267.0,'01',1.0,'01',1,1,TS
9268.0,'01',0.77,'01 10',2,1,TS
9268.0,'10',0.23,'01 10',2,1,TS
9269.0,'01',1.0,'01',1,1,TS
9270.0,'01',1.0,'01',1,1,TS
9271.0,'01',1.0,'01',1,1,TS
9272.0,'01',1.0,'01',1,1,TS
9273.0,'10',1.0,'10',1,1,TS
9274.0,'01',0.479,'01 10',2,1,TS
9274.0,'10',0.521,'01 10',2,1,TS
9275.0,'01',0.23947895791583165,'01 10',2,1,TS
9275.0,'10',0.7605210420841684,'01 10',2,1,TS
9276.0,'01',1.0,'01',1,1,TS
9277.0,'10',1.0,'10',1,1,TS
9278.0,'01',0.81,'01 10',2,1,TS
9278.0,'10',0.19,'01 10',2,1,TS
9279.0,'01',0.251,'01 10',2,1,TS
9279.0,'10',0.749,'01 10',2,1,TS
9280.0,'10',1.0,'10',1,1,TS
9281.0,'01',0.842,'01 10',2,1,TS
